data,hora_chegada,qtd_pacientes,tempo_medio_espera,data_hora,dia_semana,mes,qtd_prevista
2024-01-01,0,6,34.833333333333336,2024-01-01 00:00:00,0,1,5.970008477633479
2024-01-01,1,3,56.0,2024-01-01 01:00:00,0,1,6.067954365079364
2024-01-01,2,2,52.5,2024-01-01 02:00:00,0,1,2.514930194805196
2024-01-01,3,2,34.0,2024-01-01 03:00:00,0,1,2.4133283938283925
2024-01-01,4,3,58.333333333333336,2024-01-01 04:00:00,0,1,2.500893578643579
2024-01-01,5,2,10.5,2024-01-01 05:00:00,0,1,2.475647727272726
2024-01-01,6,8,60.5,2024-01-01 06:00:00,0,1,4.964654942279944
2024-01-01,7,5,46.0,2024-01-01 07:00:00,0,1,4.086624819624821
2024-01-01,8,9,68.0,2024-01-01 08:00:00,0,1,4.4693203463203455
2024-01-01,9,5,55.2,2024-01-01 09:00:00,0,1,5.299207792207793
2024-01-01,10,8,39.0,2024-01-01 10:00:00,0,1,7.234810966810968
2024-01-01,11,1,81.0,2024-01-01 11:00:00,0,1,6.542242868242869
2024-01-01,12,9,42.44444444444444,2024-01-01 12:00:00,0,1,5.598389249639249
2024-01-01,13,3,29.33333333333333,2024-01-01 13:00:00,0,1,6.7220358946608965
2024-01-01,14,5,49.4,2024-01-01 14:00:00,0,1,6.820750610500608
2024-01-01,15,1,128.0,2024-01-01 15:00:00,0,1,5.59698611111111
2024-01-01,16,5,46.2,2024-01-01 16:00:00,0,1,8.214860264735265
2024-01-01,17,7,44.71428571428572,2024-01-01 17:00:00,0,1,6.157148504273502
2024-01-01,18,13,50.84615384615385,2024-01-01 18:00:00,0,1,11.642156746031747
2024-01-01,19,10,43.3,2024-01-01 19:00:00,0,1,10.829458333333331
2024-01-01,20,7,65.42857142857143,2024-01-01 20:00:00,0,1,5.059345238095238
2024-01-01,21,9,62.44444444444444,2024-01-01 21:00:00,0,1,12.47001190476191
2024-01-01,22,13,66.07692307692308,2024-01-01 22:00:00,0,1,7.72610101010101
2024-01-01,23,5,22.4,2024-01-01 23:00:00,0,1,2.3498780663780674
2024-01-02,0,6,59.833333333333336,2024-01-02 00:00:00,1,1,5.648535714285713
2024-01-02,1,7,65.14285714285714,2024-01-02 01:00:00,1,1,4.701170634920633
2024-01-02,2,2,40.5,2024-01-02 02:00:00,1,1,2.514256854256855
2024-01-02,3,3,69.66666666666667,2024-01-02 03:00:00,1,1,3.226825396825397
2024-01-02,4,3,76.66666666666667,2024-01-02 04:00:00,1,1,2.778257936507937
2024-01-02,5,5,58.6,2024-01-02 05:00:00,1,1,2.888060966810967
2024-01-02,6,5,30.4,2024-01-02 06:00:00,1,1,8.224047619047619
2024-01-02,7,7,62.42857142857143,2024-01-02 07:00:00,1,1,5.7018388000888
2024-01-02,8,8,46.25,2024-01-02 08:00:00,1,1,6.584785714285712
2024-01-02,9,4,29.0,2024-01-02 09:00:00,1,1,5.990543650793652
2024-01-02,10,9,52.66666666666666,2024-01-02 10:00:00,1,1,6.486861111111113
2024-01-02,11,6,42.5,2024-01-02 11:00:00,1,1,6.2992516233766205
2024-01-02,12,5,64.4,2024-01-02 12:00:00,1,1,7.070128968253969
2024-01-02,13,7,48.0,2024-01-02 13:00:00,1,1,6.233940836940839
2024-01-02,14,6,59.66666666666666,2024-01-02 14:00:00,1,1,6.534787878787877
2024-01-02,15,4,55.5,2024-01-02 15:00:00,1,1,4.583727272727272
2024-01-02,16,6,32.5,2024-01-02 16:00:00,1,1,5.765414682539683
2024-01-02,17,4,87.25,2024-01-02 17:00:00,1,1,3.807190476190475
2024-01-02,18,7,34.42857142857143,2024-01-02 18:00:00,1,1,9.085690476190477
2024-01-02,19,9,74.22222222222223,2024-01-02 19:00:00,1,1,10.070023809523812
2024-01-02,20,16,56.75,2024-01-02 20:00:00,1,1,11.952891233766236
2024-01-02,21,10,59.7,2024-01-02 21:00:00,1,1,9.205816017316018
2024-01-02,22,11,64.27272727272727,2024-01-02 22:00:00,1,1,9.894390873015876
2024-01-02,23,8,79.625,2024-01-02 23:00:00,1,1,6.53493981018981
2024-01-03,0,6,70.33333333333333,2024-01-03 00:00:00,2,1,5.092547619047621
2024-01-03,1,7,39.42857142857143,2024-01-03 01:00:00,2,1,4.04925
2024-01-03,2,6,63.333333333333336,2024-01-03 02:00:00,2,1,3.7880138888888895
2024-01-03,3,3,25.666666666666668,2024-01-03 03:00:00,2,1,1.0288333333333335
2024-01-03,4,3,34.666666666666664,2024-01-03 04:00:00,2,1,2.1115230880230884
2024-01-03,5,2,58.5,2024-01-03 05:00:00,2,1,2.242397186147186
2024-01-03,6,4,34.25,2024-01-03 06:00:00,2,1,5.671309523809522
2024-01-03,7,7,47.57142857142857,2024-01-03 07:00:00,2,1,6.168472582972586
2024-01-03,8,6,52.66666666666666,2024-01-03 08:00:00,2,1,6.5461904761904774
2024-01-03,9,3,38.66666666666666,2024-01-03 09:00:00,2,1,4.42011904761905
2024-01-03,10,10,51.5,2024-01-03 10:00:00,2,1,6.19192261904762
